chrom	length	bases	mean	min	max
mt	53439	21141868	395.63	136	552
scaffold_1	362661	6910536	19.06	0	41
scaffold_2	344112	6783674	19.71	0	45
scaffold_3	339542	6563433	19.33	0	53
scaffold_4	325824	6295701	19.32	1	42
scaffold_5	324741	6240130	19.22	0	45
scaffold_6	322217	6234613	19.35	2	48
scaffold_7	315201	6123240	19.43	1	45
scaffold_8	295159	5632959	19.08	1	43
scaffold_9	281168	5507114	19.59	1	42
scaffold_10	271858	5259728	19.35	1	72
scaffold_11	262399	4817151	18.36	1	45
scaffold_12	261412	5207375	19.92	2	57
scaffold_13	261390	5246125	20.07	0	45
scaffold_14	243694	4602276	18.89	0	43
scaffold_15	235689	4511670	19.14	0	43
scaffold_16	233106	4428732	19.00	0	77
scaffold_17	225494	4413040	19.57	0	41
scaffold_18	220935	4332663	19.61	1	56
scaffold_19	220708	4218437	19.11	1	53
scaffold_20	218282	4190145	19.20	1	78
scaffold_21	204648	4135411	20.21	1	85
scaffold_22	203829	4275162	20.97	0	229
scaffold_23	200845	3772742	18.78	1	42
scaffold_24	192056	3626482	18.88	1	52
scaffold_25	192021	3930683	20.47	2	45
scaffold_26	192018	3426852	17.85	0	39
scaffold_27	189356	3786633	20.00	0	62
scaffold_28	189002	3758569	19.89	2	43
scaffold_29	188400	3529165	18.73	1	85
scaffold_30	168475	3326259	19.74	0	45
scaffold_31	166562	3132665	18.81	0	42
scaffold_32	165463	3190973	19.29	1	39
scaffold_33	165419	3120356	18.86	1	47
scaffold_34	162843	3029026	18.60	0	44
scaffold_35	157236	3171339	20.17	0	1693
scaffold_36	150500	2788759	18.53	0	38
scaffold_37	150472	2810002	18.67	1	43
scaffold_38	150042	2927811	19.51	0	48
scaffold_39	148278	2837593	19.14	1	44
scaffold_40	145629	2581623	17.73	2	40
scaffold_41	139011	2774936	19.96	2	47
scaffold_42	138884	2833014	20.40	1	60
scaffold_43	133266	2727239	20.46	2	41
scaffold_44	132949	2525014	18.99	2	44
scaffold_45	131905	2478381	18.79	0	41
scaffold_46	131583	2598789	19.75	1	45
scaffold_47	130730	2476140	18.94	1	42
scaffold_48	127428	2568215	20.15	1	45
scaffold_49	125188	2382868	19.03	0	41
scaffold_50	123644	2408880	19.48	1	41
scaffold_51	122745	2371493	19.32	1	92
scaffold_52	122652	2495926	20.35	4	139
scaffold_53	122168	2250509	18.42	1	40
scaffold_54	122006	2121689	17.39	1	39
scaffold_55	118225	2271436	19.21	1	42
scaffold_56	113399	2192420	19.33	1	41
scaffold_57	110840	2209277	19.93	1	44
scaffold_58	110434	2182687	19.76	0	54
scaffold_59	108404	2190458	20.21	1	40
scaffold_60	107831	2111707	19.58	1	41
scaffold_61	105649	1846595	17.48	0	44
scaffold_62	104819	2026941	19.34	1	42
scaffold_63	103947	2056735	19.79	1	44
scaffold_64	102304	1871285	18.29	1	43
scaffold_65	101958	2035874	19.97	1	41
scaffold_66	100305	1941201	19.35	0	45
scaffold_67	99894	1973700	19.76	0	42
scaffold_68	99386	1829083	18.40	1	39
scaffold_69	98918	1854734	18.75	0	41
scaffold_70	96776	1708399	17.65	2	38
scaffold_71	95239	1857646	19.51	1	40
scaffold_72	94166	1738316	18.46	1	43
scaffold_73	92458	1768814	19.13	1	40
scaffold_74	91880	1655808	18.02	0	41
scaffold_75	90628	1732547	19.12	1	44
scaffold_76	90534	1709648	18.88	1	44
scaffold_77	90208	1716126	19.02	1	64
scaffold_78	87234	1711171	19.62	1	41
scaffold_79	86709	1630541	18.80	2	40
scaffold_80	86135	1582888	18.38	0	46
scaffold_81	85514	1734173	20.28	2	46
scaffold_82	82366	1562315	18.97	3	38
scaffold_83	82124	1583344	19.28	2	40
scaffold_84	82044	1681032	20.49	2	46
scaffold_85	81015	1454280	17.95	1	38
scaffold_86	79797	1374517	17.23	2	37
scaffold_87	79080	1368525	17.31	0	58
scaffold_88	78996	1553855	19.67	1	43
scaffold_89	77445	1421693	18.36	1	40
scaffold_90	76848	1351464	17.59	0	42
scaffold_91	75726	1477327	19.51	0	41
scaffold_92	75340	1594822	21.17	3	71
scaffold_93	75034	1389682	18.52	0	42
scaffold_94	74177	1652177	22.27	2	43
scaffold_95	73464	1464840	19.94	1	44
scaffold_96	73387	1376283	18.75	1	51
scaffold_97	73215	1413863	19.31	1	37
scaffold_98	72932	1470076	20.16	1	87
scaffold_99	72736	1387731	19.08	1	45
scaffold_100	71384	1469814	20.59	1	44
scaffold_101	71299	1403114	19.68	1	52
scaffold_102	70614	1268883	17.97	1	42
scaffold_103	69213	1284915	18.56	0	37
scaffold_104	68337	1483835	21.71	2	46
scaffold_105	68264	1175345	17.22	0	37
scaffold_106	68074	1191188	17.50	1	40
scaffold_107	67991	1323668	19.47	0	41
scaffold_108	67832	1031163	15.20	0	32
scaffold_109	67614	1246327	18.43	0	43
scaffold_110	67055	1301224	19.41	2	40
scaffold_111	66583	1171737	17.60	1	46
scaffold_112	66553	1329865	19.98	2	42
scaffold_113	66079	1271931	19.25	2	52
scaffold_114	65551	1098060	16.75	0	38
scaffold_115	64426	1244975	19.32	0	38
scaffold_116	62138	1203512	19.37	1	46
scaffold_117	58974	1082275	18.35	1	39
scaffold_118	58639	944155	16.10	0	40
scaffold_119	56078	1082191	19.30	1	47
scaffold_120	55378	1059141	19.13	0	40
scaffold_121	55210	1115294	20.20	1	42
scaffold_122	54853	1005406	18.33	1	42
scaffold_123	53861	1072116	19.91	0	41
scaffold_124	53586	975992	18.21	1	40
scaffold_125	52772	1102148	20.89	1	51
scaffold_126	52197	969666	18.58	1	39
scaffold_127	51977	998447	19.21	1	47
scaffold_128	51465	903676	17.56	1	41
